tenure,seniorcitizen,monthlycharges,totalcharges
0.013888888888888888,0.0,0.11542288557213931,0.001275098084468036
0.4722222222222222,0.0,0.3850746268656716,0.21586660512347106
0.027777777777777776,0.0,0.35422885572139307,0.010310408492960998
0.625,0.0,0.23930348258706463,0.21024117239787676
0.027777777777777776,0.0,0.5218905472636816,0.015330025386568198
0.1111111111111111,0.0,0.8099502487562189,0.09251096238172168
0.3055555555555555,0.0,0.7049751243781094,0.22277867528271408
0.1388888888888889,0.0,0.11442786069651739,0.032667897530579276
0.38888888888888884,0.0,0.8611940298507462,0.3493249480729287
0.861111111111111,0.0,0.3771144278606965,0.4003173321024694
0.18055555555555555,0.0,0.3154228855721393,0.06561850911608587
0.2222222222222222,0.0,0.006965174129353213,0.035541195476575124
0.8055555555555555,0.0,0.8169154228855721,0.6533925686591276
0.6805555555555555,0.0,0.8502487562189055,0.578986845141934
0.3472222222222222,0.0,0.8681592039800995,0.30778329102238633
0.9583333333333333,0.0,0.945273631840796,0.9088795291945534
0.7222222222222222,0.0,0.023880597014925342,0.11587237479806141
0.986111111111111,0.0,0.8800995024875623,0.8496942072467113
0.1388888888888889,0.0,0.36766169154228856,0.05879875375028849
0.29166666666666663,0.0,0.7144278606965173,0.2127971382414032
0.013888888888888888,1.0,0.21293532338308457,0.0024059543041772442
0.16666666666666666,0.0,0.015422885572139305,0.02116893607200554
0.013888888888888888,0.0,0.018905472636815884,0.00015578121393953342
0.8055555555555555,0.0,0.4144278606965174,0.4022963304869605
0.6805555555555555,0.0,0.4114427860696518,0.34058389106854375
0.41666666666666663,0.0,0.3686567164179104,0.17445188091391645
0.6527777777777778,0.0,0.8069651741293532,0.545851603969536
0.013888888888888888,0.0,0.11890547263681589,0.0013154858066005077
1.0,0.0,0.7164179104477612,0.7328236787445188
0.2361111111111111,0.0,0.4621890547263682,0.12396722824832679
0.986111111111111,1.0,0.7771144278606964,0.778692591737826
0.027777777777777776,1.0,0.7686567164179104,0.01879183014078006
0.375,0.0,0.47661691542288565,0.21412993307177478
0.013888888888888888,0.0,0.019402985074626844,0.0001615508885298867
0.013888888888888888,1.0,0.26865671641791045,0.003052157858296792
1.0,0.0,0.8124378109452737,0.8346295868912993
0.06944444444444445,0.0,0.5119402985074627,0.034398799907685206
0.6388888888888888,0.0,0.5626865671641791,0.40728132933302563
0.4722222222222222,0.0,0.8766169154228854,0.4073909531502423
0.15277777777777776,0.0,0.7920398009950248,0.12538656819755367
0.1388888888888889,0.0,0.3114427860696517,0.05272328640664667
0.9722222222222222,0.0,0.5069651741293533,0.5600680821601662
0.2361111111111111,0.0,0.02487562189054726,0.04609393030233095
0.875,0.0,0.6129353233830845,0.5588102930994692
0.18055555555555555,0.0,0.5766169154228856,0.11108354488806832
0.6805555555555555,0.0,0.6592039800995024,0.44863835679667663
0.027777777777777776,0.0,0.30845771144278605,0.009023771059312256
0.027777777777777776,0.0,0.6208955223880598,0.014464574198015234
0.7222222222222222,0.0,0.6119402985074627,0.4845372720978537
0.9583333333333333,0.0,0.4567164179104478,0.4887260558504501
0.5972222222222222,1.0,0.7164179104477612,0.4407973690283868
0.20833333333333331,0.0,0.8044776119402984,0.1624278790676206
0.3472222222222222,1.0,0.5099502487562189,0.2000750057696746
0.1111111111111111,1.0,0.6208955223880598,0.07090930071543965
0.8333333333333333,1.0,0.56318407960199,0.5120643895684284
0.25,1.0,0.7681592039800995,0.20006346642049389
0.875,0.0,0.8099502487562189,0.7261020078467574
0.9166666666666666,1.0,0.8975124378109453,0.8143953381029311
0.4722222222222222,0.0,0.06666666666666665,0.10102700207708286
1.0,0.0,0.8880597014925372,0.9040964689591507
0.6527777777777778,0.0,0.818407960199005,0.5409993076390492
0.8333333333333333,0.0,0.7129353233830846,0.6268059081467805
1.0,0.0,0.2373134328358209,0.3396261250865451
0.25,0.0,0.3597014925373134,0.10827371336256636
0.125,0.0,0.7577114427860697,0.0967516732056312
0.041666666666666664,0.0,0.5676616915422885,0.025998153704131086
0.6527777777777778,0.0,0.6034825870646766,0.41905723517193627
0.4305555555555555,0.0,0.6064676616915423,0.28599123009462263
0.6944444444444444,0.0,0.018905472636815884,0.10525040387722133
0.1388888888888889,0.0,0.6129353233830845,0.10022501730902378
0.013888888888888888,0.0,0.30646766169154227,0.0034906531271636275
0.7222222222222222,0.0,0.021393034825870627,0.12368451419339951
0.8888888888888888,1.0,0.9288557213930347,0.8170090006923609
0.861111111111111,0.0,0.05970149253731341,0.16222017078236786
